timestamp,frame_time,index,right_ankle_x,right_ankle_y,right_knee_x,right_knee_y,right_hip_x,right_hip_y,magnitude1,magnitude2,angle_deg,angular_velocity,linear_acceleration
1721583089.782295,0.0,0,0.8322757,0.4621019,0.0,0.0,0.0,0.0,0.9519564033824967,0.9519564033824967,0.012452522423552286,,
1721583090.230088,0.03336666666666667,1,0.46506995,0.52030283,0.43901905,0.15949856,0.0,0.0,0.3617435044712701,0.6978575034811673,37.66204628517275,84.07811909267164,
1721583090.4326558,0.06673333333333334,0,0.46455088,0.5224829,0.4526074,0.14421496,0.0,0.0,0.37845641987134887,0.6991393809870569,39.832524753951134,10.714823874730385,-362.16659065616943
1721583090.5712051,0.10010000000000001,0,0.83169,0.47163314,0.0,0.0,0.0,0.0,0.9561098752935603,0.9561098752935603,0.014161271574818826,-287.3948513513347,-2151.6501007357983
1721583090.668706,0.13346666666666668,0,0.8383559,0.48077142,0.0,0.0,0.0,0.0,0.9664273245990846,0.9664273245990846,0.0,-0.1452426176710704,2946.1256269991304
1721583090.781599,0.16683333333333333,0,0.8387805,0.48282805,0.0,0.0,0.0,0.0,0.9678200717887758,0.9678200717887758,0.0,0.0,1.286549946924321
1721583090.865084,0.20020000000000002,1,0.46142578,0.5140698,0.44200835,0.14627253,0.0,0.0,0.36830945948269117,0.6907832557026544,38.888886940688835,465.81947747144585,5579.68619474012
1721583090.94511,0.23356666666666667,1,0.46170434,0.52037865,0.4429416,0.15442704,0.0,0.0,0.36643227501307263,0.6956758149016942,38.64589591753209,-3.036395277251095,-5858.783337881719
1721583091.025127,0.26693333333333336,1,0.4644547,0.5212399,0.44300422,0.17577629,0.0,0.0,0.34612888412445153,0.6981469667639643,38.14983366097782,-6.199472332626944,-39.53013645299269
1721583091.101598,0.3003,1,0.46392664,0.519472,0.44199997,0.17223519,0.0,0.0,0.347928415913995,0.6964761963571134,38.15398105607926,0.054234810622693176,81.77871032496587
1721583091.178729,0.33366666666666667,1,0.46271524,0.5190954,0.44055873,0.17079735,0.0,0.0,0.3490020892762005,0.6953887026114906,38.07353155579121,-1.0430237638168642,-14.225902760048756
1721583091.253278,0.3670333333333334,1,0.45824447,0.5243913,0.45225555,0.1717608,0.0,0.0,0.3526813490360428,0.6964009086181752,40.175910687727296,28.2013208432749,392.2837382600907
1721583091.328309,0.40040000000000003,1,0.46044096,0.5218237,0.44001943,0.18285929,0.0,0.0,0.3395790119602229,0.6959208713528833,37.97645308575792,-29.313968464776536,-766.553251814941
1721583091.402049,0.4337666666666667,1,0.45841327,0.5216735,0.43999678,0.1912267,0.0,0.0,0.33095957681965227,0.6944681203007831,38.1170162780267,1.9061999158898444,423.381693178211
1721583091.477681,0.46713333333333334,1,0.45563632,0.51808596,0.43762392,0.180847,0.0,0.0,0.3377196586806687,0.6899402269606105,38.273020689719544,2.062681230493784,2.0689868129630025
1721583091.551279,0.5005000000000001,1,0.44909745,0.5212286,0.43996316,0.18024762,0.0,0.0,0.3411033306470572,0.6880172883696811,39.21413481007006,12.787198671309799,145.7172219651381
1721583091.627031,0.5338666666666667,0,0.44005504,0.53737783,0.45398206,0.1774157,0.0,0.0,0.36023145436563286,0.6945670430223686,41.52949562302069,30.565004293629773,234.68424538336106
1721583091.700882,0.5672333333333334,0,0.43921494,0.53240013,0.4483871,0.17112932,0.0,0.0,0.36138723005699747,0.6901881392050767,40.976006009087435,-7.494693196445953,-515.3588227439753
1721583091.776387,0.6006,1,0.43721253,0.53763705,0.44812822,0.19250447,0.0,0.0,0.34530516453913407,0.692970703863137,40.92992161243593,-0.6103487917654088,91.17730934547942
1721583091.8541088,0.6339666666666667,1,0.43551984,0.5481774,0.44871694,0.2012581,0.0,0.0,0.34717025134295565,0.7001257171177722,40.64521501750293,-3.663148173569925,-39.278529822479314
1721583091.9325492,0.6673333333333333,0,0.435186,0.5500341,0.4487061,0.2007273,0.0,0.0,0.3495683747905328,0.7013732037683413,40.567534551582945,-0.9903116048487295,34.07473218035576
1721583092.006297,0.7007000000000001,0,0.43539637,0.5532232,0.44846177,0.20183113,0.0,0.0,0.35163487428490486,0.7040070331967374,40.33274583803156,-3.1836675828780256,-29.7412776761752
1721583092.07853,0.7340666666666668,0,0.4315602,0.55675834,0.45204306,0.20314899,0.0,0.0,0.35420209291267396,0.7044317214126641,41.095504045010046,10.559697256013612,190.2644516307801
1721583092.152191,0.7674333333333334,1,0.4344192,0.55458194,0.43988615,0.21620466,0.0,0.0,0.33842145689257686,0.7044722723358154,38.99818146687109,-28.472690217307775,-529.8932498766873
1721583092.225635,0.8008000000000001,1,0.4303801,0.5501651,0.44369632,0.21551906,0.0,0.0,0.3349108803385967,0.6985046108265324,40.31387001413794,17.914142116480754,631.5934789332101
1721583092.2996428,0.8341666666666667,0,0.43206626,0.5561525,0.44299397,0.21521637,0.0,0.0,0.3411112369452626,0.7042633618985842,39.67889624069517,-8.579828156367261,-357.98913534406813
1721583092.3722491,0.8675333333333334,0,0.43746918,0.5642373,0.4403417,0.22652406,0.0,0.0,0.3377254579475398,0.713962894100078,38.27477525607759,-19.338824568324103,-148.18263270862676
1721583092.447455,0.9009000000000001,0,0.4347496,0.56871045,0.4432384,0.21760069,0.0,0.0,0.35121234532355217,0.715848300508647,38.78101178828679,6.731349345005577,346.65109475574866
1721583092.521633,0.9342666666666667,0,0.43217587,0.5662362,0.44407552,0.2201473,0.0,0.0,0.3462933999743547,0.7123197446010803,39.32167187573828,7.288687078949437,7.513519925533683
