timestamp,frame_time,index,right_ankle_x,right_ankle_y,right_knee_x,right_knee_y,right_hip_x,right_hip_y,magnitude1,magnitude2,angle_deg,angular_velocity,linear_acceleration
1721436307.732754,0.0,0,0.3881572,0.80608994,0.38475007,0.57726353,0.39180365,0.3064119,0.22885176744823127,0.49969135059502956,1.2712347886512356,,
1721436308.070209,0.016666666666666666,0,0.38822204,0.80585545,0.38421234,0.5779865,0.39055824,0.30785534,0.22790424974502835,0.49800559489320473,1.2769048718081528,0.01680248501676247,
1721436308.158499,0.03333333333333333,0,0.38832435,0.80621254,0.3843752,0.57718456,0.39130172,0.30767342,0.22906203151964352,0.49854801059549814,1.3300273288569913,0.6016816334465828,6.624524936272603
1721436308.245986,0.05,0,0.38839328,0.8060459,0.38436216,0.57704014,0.39057,0.30419022,0.22904123057817238,0.5018603920251088,1.2570311211337934,-0.8343665053488365,-16.414420754883352
1721436308.33061,0.06666666666666667,0,0.38846058,0.805818,0.38403252,0.5771034,0.3908009,0.30510113,0.2287575058901848,0.5007223938780175,1.376927635412938,1.4168136762290797,26.60213174746359
1721436308.426712,0.08333333333333334,0,0.38711157,0.80429804,0.37976635,0.57351464,0.3898183,0.30128568,0.23090026300976876,0.5030196416358365,2.1312709953492557,7.8494034001958335,66.9350249939656
1721436308.51497,0.1,0,0.3886827,0.80595607,0.38375562,0.5783904,0.39014572,0.3074534,0.22761897839571682,0.4985048185876397,1.4083424348953542,-8.191079911789208,-181.74531733771346
1721436308.598242,0.11666666666666667,0,0.38834032,0.80411434,0.383712,0.57789457,0.38992152,0.30685857,0.2262671148697052,0.49725828631184704,1.354200227677994,-0.6501851767141629,90.55740849692558
1721436308.6785831,0.13333333333333333,0,0.38774237,0.80158496,0.38328183,0.57748795,0.3899556,0.30943817,0.22414140156409615,0.4921517665967732,1.3979190202298597,0.5441647198618893,14.86598871906973
1721436308.757759,0.15000000000000002,0,0.38718462,0.80231804,0.38396493,0.57824737,0.38992795,0.3095118,0.22409379907885585,0.49281386169461355,1.1421991569943672,-3.229766945050947,-47.665126947889014
1721436308.837226,0.16666666666666669,0,0.38696596,0.80264604,0.38403293,0.57825196,0.39029863,0.31133118,0.22441325079755883,0.491326161124796,1.137477593339951,-0.059415535546619345,39.89528483651649
1721436308.9219232,0.18333333333333335,0,0.3846982,0.80293715,0.38217667,0.574159,0.39089763,0.30532014,0.22879201940306493,0.4976556216531296,1.345162589520244,2.4520867517691607,29.65270288672561
1721436309.005326,0.2,0,0.38730595,0.8036036,0.38429987,0.57817924,0.38968536,0.31087393,0.22544439164217503,0.49273540898121293,1.0407062408574304,-3.650430027762612,-73.16914426244931
1721436309.092148,0.21666666666666667,0,0.38723963,0.80219996,0.3837677,0.57767004,0.39013824,0.31178862,0.22455676398131866,0.49041990729515345,1.2246281972078852,2.1183788278948645,66.4440656487557
1721436309.184621,0.23333333333333334,0,0.38739976,0.800094,0.3841805,0.5756528,0.3914126,0.31230715,0.2244643169849657,0.48780336492235954,1.2932034145308378,0.7415699178016019,-14.888761715154468
1721436309.273639,0.25,0,0.38741684,0.8018453,0.38480338,0.5758944,0.3923092,0.3117235,0.22596601046380327,0.49014622850223455,1.2345602853038604,-0.6587793048392684,-15.73110268132109
1721436309.362626,0.26666666666666666,0,0.3870093,0.8014607,0.3848527,0.57567036,0.3923548,0.31104577,0.22580062066242257,0.49044404938534786,1.1717640477148226,-0.7056778913903741,-0.5270267286260245
1721436309.473072,0.2833333333333333,0,0.38694775,0.80270946,0.38575023,0.57688445,0.3926412,0.31099388,0.22582818683616895,0.4917485404611953,0.9670876671486601,-1.8531809623312496,-10.389722738901309
1721436309.557376,0.30000000000000004,0,0.38708535,0.8021696,0.3856802,0.57680494,0.39235738,0.30877584,0.22536906557297,0.4934219444538026,0.9694669379974364,0.028222562580192925,22.316933251932042
1721436309.640487,0.3166666666666667,0,0.3871036,0.8024145,0.3854952,0.57721794,0.39271727,0.30980834,0.22520228405518564,0.4926381186468414,1.0620773710479374,1.1142975039241996,13.067756583691963
1721436309.725312,0.33333333333333337,0,0.387399,0.80263686,0.3856391,0.5759366,0.39237347,0.30797878,0.22670707728095765,0.4946830948185773,1.0210467653934439,-0.48370865704016786,-18.83884972527416
1721436309.811594,0.35000000000000003,0,0.38686466,0.8024019,0.38531658,0.57792497,0.3932442,0.3134171,0.22448227150718875,0.4890264070492822,1.142727914878625,1.4102724617781852,21.951053440061823
1721436309.8972218,0.3666666666666667,0,0.38689154,0.8010705,0.38572735,0.57687604,0.39316973,0.31217426,0.22419748977314471,0.4889365598983416,1.033140881417542,-1.2798068010601555,-31.41595887066344
1721436309.986766,0.38333333333333336,0,0.38690206,0.80149263,0.38549435,0.5780618,0.39293376,0.31226534,0.22343524692039632,0.48926447592820027,1.0674413990195086,0.3830564204847993,18.570286337728955
1721436310.0738182,0.4,0,0.3870649,0.8026691,0.38553107,0.57882416,0.39286345,0.3114023,0.2238502004648653,0.49130103654131774,1.0688136098198726,0.015763096953108548,-4.219235315393072
1721436310.1592262,0.4166666666666667,0,0.38629085,0.8017895,0.3854553,0.5792244,0.39323515,0.31227773,0.2225666828507117,0.48956104192395855,1.0279433337126385,-0.4785299895252916,-5.78743497778978
1721436310.2453089,0.43333333333333335,0,0.38628945,0.80269814,0.385712,0.57835615,0.3932839,0.3115653,0.22434273173185781,0.4911826287747819,0.9634728529484511,-0.7489365816232733,-3.1412421054374597
