Frame,Landmark Index,X,Y,Z
0,0,0.21899199485778809,0.5876070857048035,5.433025762613397e-07
0,1,0.41934698820114136,0.6413969993591309,0.003021684940904379
0,2,0.5888269543647766,0.6339566707611084,0.020258523523807526
0,3,0.7263802289962769,0.5883162617683411,0.042291224002838135
0,4,0.8276142477989197,0.5584642291069031,0.06941080093383789
0,5,0.6342147588729858,0.47618746757507324,0.007198771927505732
0,6,0.8003804683685303,0.3951292932033539,0.03184788301587105
0,7,0.8601102232933044,0.366737425327301,0.07242234796285629
0,8,0.880831241607666,0.35848772525787354,0.10755494982004166
0,9,0.5351844429969788,0.4149232804775238,0.017891978845000267
0,10,0.6793296933174133,0.30661702156066895,0.04523594677448273
0,11,0.7301294207572937,0.27664899826049805,0.09564180672168732
0,12,0.7438493967056274,0.2741740345954895,0.14064808189868927
0,13,0.4266539216041565,0.38684993982315063,0.028443001210689545
0,14,0.5271295309066772,0.28220945596694946,0.042373135685920715
0,15,0.5776305198669434,0.24982546269893646,0.08166903257369995
0,16,0.5996741652488708,0.24050042033195496,0.1182633489370346
0,17,0.3161393702030182,0.3841411769390106,0.03945322707295418
0,18,0.3379521071910858,0.3003729283809662,0.053204894065856934
0,19,0.3608439266681671,0.26509928703308105,0.07453469187021255
0,20,0.3756047785282135,0.24785955250263214,0.10125163942575455
1,0,0.22276461124420166,0.5883293151855469,6.762389830328175e-07
1,1,0.4163621664047241,0.6423810124397278,-0.0064856307581067085
1,2,0.5852205157279968,0.6354048252105713,0.0032524331472814083
1,3,0.7241051197052002,0.5913020372390747,0.01826767809689045
1,4,0.8265149593353271,0.561439037322998,0.038109272718429565
1,5,0.6338086724281311,0.4751940369606018,0.0022636831272393465
1,6,0.7932166457176208,0.39827463030815125,0.02425144799053669
1,7,0.8535659313201904,0.3697351813316345,0.06144096702337265
1,8,0.8741792440414429,0.3607463538646698,0.0947132557630539
1,9,0.5357881188392639,0.41326385736465454,0.01557118259370327
1,10,0.6769425272941589,0.30812087655067444,0.0424950011074543
1,11,0.7275404334068298,0.27730387449264526,0.09227895736694336
1,12,0.7435039281845093,0.2734016180038452,0.13772878050804138
1,13,0.4288254976272583,0.38465607166290283,0.027695005759596825
1,14,0.5278119444847107,0.2822527587413788,0.043552692979574203
1,15,0.5794960856437683,0.2500997483730316,0.08399610221385956
1,16,0.6026100516319275,0.24030564725399017,0.12160300463438034
1,17,0.3194032311439514,0.382219523191452,0.039010122418403625
1,18,0.339849054813385,0.29994308948516846,0.05654410645365715
1,19,0.3636326491832733,0.26311802864074707,0.080537348985672
1,20,0.3782065808773041,0.24397940933704376,0.1091618612408638
2,0,0.22179484367370605,0.5876705050468445,5.810481980006443e-07
2,1,0.4206816256046295,0.6409590244293213,-0.003985966090112925
2,2,0.5880305767059326,0.6342648267745972,0.006961415521800518
2,3,0.723933756351471,0.5882863998413086,0.022594625130295753
2,4,0.8270555734634399,0.5590600967407227,0.042960379272699356
2,5,0.6341090798377991,0.4760041832923889,-0.0008701239130459726
2,6,0.7963002920150757,0.39743760228157043,0.017460376024246216
2,7,0.8566278219223022,0.36947405338287354,0.05249961465597153
2,8,0.8785446882247925,0.3611990213394165,0.08427019417285919
2,9,0.5366600751876831,0.41497132182121277,0.01007199939340353
2,10,0.6775192022323608,0.3079991638660431,0.03130507469177246
2,11,0.7279430627822876,0.2766227722167969,0.07765905559062958
2,12,0.7418108582496643,0.272990345954895,0.12035627663135529
2,13,0.42818257212638855,0.38683784008026123,0.02022886648774147
2,14,0.5258190631866455,0.28428900241851807,0.02994883805513382
2,15,0.5783601403236389,0.25069695711135864,0.06665311008691788
2,16,0.602226734161377,0.2395937144756317,0.1017896756529808
2,17,0.31744202971458435,0.38462182879447937,0.030242934823036194
2,18,0.33975130319595337,0.3038681149482727,0.04194248095154762
2,19,0.3642551600933075,0.26805394887924194,0.06323085725307465
2,20,0.37815889716148376,0.24879349768161774,0.09011682868003845
3,0,0.2218194603919983,0.5878696441650391,5.728254564019153e-07
3,1,0.4191509783267975,0.6419204473495483,-0.007162599824368954
3,2,0.5874139070510864,0.634990394115448,-0.000479800917673856
3,3,0.7255842685699463,0.5914656519889832,0.01132027804851532
3,4,0.8249075412750244,0.5604984164237976,0.02850755862891674
3,5,0.6298081278800964,0.4763963222503662,-0.013457972556352615
3,6,0.7943525314331055,0.3966994881629944,-0.003364761359989643
3,7,0.8563289046287537,0.3699054718017578,0.028612157329916954
3,8,0.8740584850311279,0.3636045455932617,0.06055169552564621
3,9,0.5335374474525452,0.4136662781238556,-0.0014345661038532853
3,10,0.6793724298477173,0.3044215440750122,0.015895675867795944
3,11,0.7304310202598572,0.27636969089508057,0.06634096801280975
3,12,0.743252158164978,0.2768135666847229,0.11420594155788422
3,13,0.42788541316986084,0.3854229152202606,0.009381008334457874
3,14,0.5344093441963196,0.28221458196640015,0.016630589962005615
3,15,0.5890063643455505,0.25210773944854736,0.058076392859220505
3,16,0.6124967932701111,0.24445782601833344,0.09840290993452072
3,17,0.3200715184211731,0.3836515247821808,0.019765086472034454
3,18,0.3402240574359894,0.3029617667198181,0.027795717120170593
3,19,0.3649231791496277,0.26655763387680054,0.04921789839863777
3,20,0.3781125545501709,0.24728906154632568,0.07843609899282455
4,0,0.22497886419296265,0.5893712043762207,6.360157271956268e-07
4,1,0.418903112411499,0.642864465713501,-0.009881356731057167
