timestamp,frame_time,index,right_ankle_x,right_ankle_y,right_knee_x,right_knee_y,right_hip_x,right_hip_y,magnitude1,magnitude2,angle_deg,angular_velocity,linear_acceleration
1721437025.937637,0.0,0,0.39816982,0.8733119,0.3942118,0.61540085,0.39897746,0.31755525,0.2579413954263923,0.5557572153590303,0.9627186813781723,,
1721437026.202316,0.016666666666666666,0,0.39765015,0.87266624,0.3936843,0.6169161,0.39834264,0.32254452,0.25578086660759364,0.550122160452488,0.9604767550263434,-0.00847036120105243,
1721437026.287352,0.03333333333333333,0,0.39825514,0.8741477,0.39339215,0.618516,0.39692888,0.32022595,0.25567793650904796,0.5539233468716633,0.952574928735388,-0.09292326349076238,-0.9931424715079881
1721437026.375076,0.05,0,0.39780426,0.87288547,0.39345556,0.61366665,0.3973264,0.31319225,0.2592552866182733,0.5596934212651683,0.9123794973095272,-0.4582035130937124,-4.1639730609816565
1721437026.460778,0.06666666666666667,0,0.39813706,0.87289274,0.39358196,0.6149625,0.39750588,0.31511772,0.25797043814168086,0.5577753777257373,0.9469571896023159,0.40346451091752333,10.054241472715802
1721437026.5496051,0.08333333333333334,0,0.39838547,0.87362736,0.3934019,0.61521065,0.39668187,0.3144686,0.25846476200643986,0.5591613971920834,0.9301687533801085,-0.1890012164237114,-6.669873338693205
1721437026.633997,0.1,0,0.39789948,0.87372845,0.3934168,0.6159036,0.39700833,0.31493038,0.2578638044616201,0.5587987853064434,0.9046626913439055,-0.3022337745898445,-1.341747832826536
1721437026.717419,0.11666666666666667,0,0.39797193,0.87234634,0.3936918,0.6143687,0.3976421,0.31566054,0.25801316786960204,0.5566859030264296,0.9164629380084516,0.1414525468526227,5.318580361567621
1721437026.802041,0.13333333333333333,0,0.39748544,0.87170935,0.3934598,0.6162529,0.39740607,0.3181306,0.25548816485940273,0.5535787400868518,0.8948784859592825,-0.25506860084815886,-4.685784662049747
1721437026.884334,0.15000000000000002,0,0.39752665,0.8716366,0.3935509,0.6152818,0.39742184,0.31828827,0.2563856364520085,0.5533483723727926,0.8777109155203083,-0.2086151122153403,0.5644887130871459
1721437026.966628,0.16666666666666669,0,0.39774054,0.8727254,0.39367068,0.616744,0.3973553,0.3199978,0.2560137967832183,0.5527277739375643,0.8711427234004911,-0.07981375477572442,1.5651369159025241
