timestamp,frame_time,index,right_ankle_x,right_ankle_y,right_knee_x,right_knee_y,right_hip_x,right_hip_y,magnitude1,magnitude2,angle_deg,angular_velocity,linear_acceleration
1728919964.042135,0.16683333333333333,0,0.51364934,0.7647261,0.5115036,0.51988447,0.5157338,0.20307909,0.24485103768956878,0.5616508658833049,0.7144515714093309,-0.6934595728903143,-31.068179746684688
1728919964.157632,0.20020000000000002,0,0.51336616,0.76230204,0.5104128,0.52102345,0.5152124,0.20515764,0.2412966632159605,0.5571474624886403,0.8913071557897003,1.5312554651630184,19.262083650821058
1728919964.258691,0.23356666666666667,0,0.50595504,0.7545409,0.5059453,0.5222904,0.51393944,0.2221082,0.23225051184948248,0.5324925989192393,0.8613635081486501,-0.2962987908506514,-18.084039819132094
1728919964.359838,0.26693333333333336,0,0.5115235,0.7617541,0.51230484,0.5264296,0.5144358,0.2224301,0.2353257991735123,0.5393318488253588,0.11669635415706488,-7.3622314266078055,-69.85809838720627
1728919964.4615512,0.3003,0,0.51069176,0.76409084,0.5130295,0.52792865,0.5150517,0.22373796,0.2361737560200865,0.5403704703369163,0.10378414814755849,-0.1269472249388131,71.13418500055568
1728919964.5625222,0.33366666666666667,0,0.51080734,0.76866657,0.5151331,0.53060275,0.51557034,0.22590958,0.23810310959149544,0.5427778733695828,0.5377106376067926,4.297536523814054,43.81935874203759
1728919964.6614442,0.3670333333333334,0,0.512102,0.77076584,0.51596963,0.5319156,0.51626253,0.22280854,0.23888154750937826,0.5479730958975373,0.4926024262133618,-0.45599770426843567,-48.05335055875698
1728919964.762039,0.40040000000000003,0,0.5130762,0.7745468,0.5178658,0.5345824,0.51877135,0.22494355,0.2400122199316997,0.5496327305641322,0.5497400057984525,0.5679975792002471,10.17940987956113
1728919964.8651881,0.4337666666666667,0,0.5137522,0.7745658,0.52411723,0.5337046,0.5247863,0.22856723,0.2410841532137194,0.5461100555582348,1.3065253299315667,7.336804384608917,65.62153078930196
1728919964.968353,0.46713333333333334,0,0.51412284,0.77233243,0.52792704,0.53269875,0.52989453,0.23608129,0.2400309483407904,0.5364830082049564,1.6122021088342813,2.9629917298361965,-42.39632061835163
1728919965.073941,0.5005000000000001,0,0.5122892,0.77006596,0.53205514,0.53266186,0.5361453,0.23274617,0.2382255272924737,0.5378491043040097,2.21723356296212,5.730117886535513,26.206834333364732
1728919965.176182,0.5338666666666667,0,0.51092947,0.77053237,0.5357765,0.5330607,0.5379937,0.23039934,0.23876799364267506,0.5408106243767579,3.1047221580935265,8.680355769218663,28.85571100969956
1728919965.278552,0.5672333333333334,0,0.5108024,0.77719676,0.5400826,0.5327384,0.5391634,0.22637391,0.24620566105740463,0.5515525035123239,3.8826995389320165,7.599660061719124,-10.55675937300876
1728919965.377793,0.6006,0,0.51426524,0.78885573,0.5452802,0.53878236,0.5433326,0.2333109,0.25198932707116856,0.5563047672263042,4.07478347204607,1.9355296470509253,-57.07448907683295
1728919965.4770188,0.6339666666666667,1,0.52231497,0.7924496,0.5515526,0.53729904,0.5472658,0.2351905,0.25682025894614635,0.5578173812886378,3.9733883519286564,-1.021862877361516,-29.804685185875442
1728919965.576341,0.6673333333333333,1,0.5308404,0.797297,0.5545355,0.54164857,0.5505631,0.23663957,0.2567441921210201,0.5610042350459118,3.280685955835448,-6.97430412073187,-59.93069422913641
1728919965.6765199,0.7007000000000001,1,0.53626084,0.80984855,0.55456865,0.5465053,0.54900223,0.22845972,0.26397889309510014,0.5815284308721382,2.7213899489458098,-5.582968955952882,13.888497211851956
1728919965.777921,0.7340666666666668,1,0.53700817,0.81855035,0.5545498,0.5486789,0.54457235,0.2276003,0.2704409759740034,0.5909984211935052,2.985556634915593,2.605166121483552,80.7499705103183
1728919965.877035,0.7674333333333334,1,0.53731114,0.8221564,0.55489147,0.5467382,0.544487,0.23296824,0.27597874012027734,0.5892319147622367,2.954555481816568,-0.3127829720621685,-29.440349747314716
1728919965.976453,0.8008000000000001,1,0.54044735,0.82625437,0.55362165,0.54827446,0.5497942,0.23243703,0.2782919198096121,0.593890909585975,1.8115292464105321,-11.497157033186594,-112.49829699050439
1728919966.076416,0.8341666666666667,1,0.5401035,0.8278646,0.55395293,0.54988414,0.54928696,0.23672727,0.2783252337168075,0.5912086194275078,1.9621879395980153,1.5071453329462365,130.09122278094424
1728919966.1772318,0.8675333333333334,1,0.54016054,0.8310357,0.55560535,0.54840887,0.55237615,0.24179241,0.2830485024516871,0.5893699002774311,1.9404384988306547,-0.21573450381765666,-17.089387754718302
1728919966.277777,0.9009000000000001,1,0.5407052,0.83382875,0.559213,0.5443108,0.5507941,0.23641974,0.29010890183808397,0.5974941936692172,2.6902044932967555,7.457006735922774,76.31138719285266
1728919966.378125,0.9342666666666667,1,0.5359822,0.83396065,0.5613595,0.54937005,0.55009925,0.23732169,0.2857198273489802,0.5968059659112889,3.7402069126977775,10.463611270648826,29.961779625126802
1728919966.478488,0.9676333333333333,1,0.5414976,0.8362849,0.56711495,0.54548824,0.5530628,0.22798835,0.2919228212898796,0.6084064451107302,3.94522015000495,2.0427169809703782,-83.90435654996037
1728919966.57893,1.0010000000000001,1,0.54238135,0.8337478,0.56953347,0.54859066,0.5535514,0.2303636,0.28644691391671695,0.603487579374908,4.378678061416293,4.315507476344323,22.627904847819806
